,feasible,total_proportion_used,total_costs,total_use,total_use_top_quintile,total_use_bottom_quintile,total_water_use_by_bottom_quintile,total_cost_for_bottom_quintile,proportion_of_water_used_by_bottom_quintile,proportion_of_lower_price_water_used_by_bottom_quintile,variance_of_water_use,per_gallon_price_bottom_quintile,per_gallon_price_top_quintile,price1,price2,threshold,perc_spent_by_bottom_quintile,prop_bottom_used_compared_to_top,prop_per_gallon_price
22,False,0.9352719157665687,2705449.1428139852,2688.0499107095775,1011.0824640350014,323.5316186762662,323.5316186762662,323531.61867626617,0.12035923045449033,0.12868897328256482,0.16790197748328997,999.9999999999999,3178.9217398517503,1000,1100,1.0,0.11958517850376416,0.3199853920768487,0.3145720724935604
23,False,0.9705628769962744,2709369.282199606,2701.417087490722,1011.0067071230194,321.4248497708896,321.4248497708896,321424.84977088956,0.11898379234339299,0.12259251799410355,0.14369757384859302,999.9999999999999,3170.131066587455,1000,1100,1.5,0.11863456631129304,0.31792553650366495,0.3154443709093921
24,False,0.9825850435665998,2690759.2592370864,2686.081460076706,1007.3739882027065,322.2372282732223,322.2372282732223,322237.22827322234,0.11996554574484877,0.12209172231639791,0.13905576843048095,1000.0000000000001,3140.7041104045747,1000,1100,2.0,0.11975698946942825,0.31987844836865176,0.3183999399011146
25,False,0.9963626758922722,2619883.037813936,2618.9304479284647,953.4912240397388,320.6221133057752,320.6221133057752,320622.1133057752,0.12242482940292766,0.12287170670714057,0.09669995767922207,1000.0,2976.8496130364006,1000,1100,2.5,0.12238031571566127,0.3362612106143649,0.33592560256344134
26,False,0.9811069288288311,2727524.5173659287,2722.3811033718243,1055.7776168261125,320.8765462962581,320.8765462962581,320876.5462962581,0.11786613780812473,0.12013582843602054,0.3186362692096288,1000.0000000000001,3306.3215216754825,1000,1100,3.0,0.11764387240270913,0.30392436928231137,0.302450924220234
27,False,0.9945610790511221,2663480.68581816,2662.03282720711,996.5162314546915,319.23217528778423,319.23217528778423,319232.17528778425,0.1199204502758551,0.12057620945259627,0.13691389188026415,1000.0000000000001,3126.138802162056,1000,1100,3.5,0.11985526194635178,0.32034819425046035,0.31988342913897305
28,False,0.9993730286974154,2677516.099312331,2677.348237261152,1002.1585915111984,323.8760973256207,323.8760973256207,323876.0973256207,0.12096898446686052,0.12104483089143962,0.11308049177954897,1000.0,3094.783659056666,1000,1100,4.0,0.12096140053417498,0.32317848698700863,0.3231243634990674
29,False,1.0,2662689.486046506,2662.6894860465063,972.8490758253527,322.39425385093125,322.39425385093125,322394.25385093124,0.12107842673372105,0.12107838126150886,0.09891312065568053,1000.0,3017.5757297311475,1000,1100,4.5,0.12107842673372105,0.33139184881006967,0.33139184881006967
30,False,0.9981025600487936,2668403.6763235866,2667.8974588011815,1000.2885040483391,320.1029680716643,320.1029680716643,320102.9680716643,0.1199832351186025,0.12021128375254556,0.1336481628714502,1000.0,3126.477481916654,1000,1100,5.0,0.11996047333913457,0.3200106437054437,0.31984877734892897
31,False,0.9990155962666646,2668278.931758779,2668.0162912390097,994.4797932394397,320.6036848475087,320.6036848475087,320603.6848475087,0.12016556491812964,0.12028392778204286,0.12983413484852097,999.9999999999999,3102.716783284467,1000,1100,5.5,0.1201537369394079,0.32238330736029075,0.3222981889250691
32,False,0.9992482965257006,2689801.737795286,2689.5995596619387,1011.1885866451486,324.4541561367021,324.4541561367021,324454.1561367021,0.12063288565435497,0.12072358911037973,0.13657686355908769,999.9999999999999,3117.206994113421,1000,1100,6.0,0.12062381832002352,0.3208641399060423,0.32079999880932336
33,False,1.0,2630018.4704556623,2630.0184704556623,971.0600839985203,319.5949529114882,319.5949529114882,319594.95291148813,0.12151814008215575,0.1215180938778818,0.10857884798157413,999.9999999999999,3038.408695607454,1000,1100,6.5,0.12151814008215574,0.32911964787543996,0.3291196478754399
34,False,0.9997146089653828,2706768.025483718,2706.6907789555385,1026.4317709876204,320.786102460091,320.786102460091,320786.102460091,0.11851597713126151,0.11854976637295572,0.1535590988522095,1000.0,3199.979704992077,1000,1100,7.0,0.11851259488805448,0.3125255000158797,0.31250198194693735
35,False,0.988230720960793,2765370.525376353,2762.119709616137,1090.1174968982173,320.4504748033804,320.4504748033804,320450.47480338044,0.11601614285135917,0.11739778767024817,0.4159568462073048,1000.0000000000001,3411.9728277179006,1000,1100,7.5,0.11587976072745938,0.293959573821335,0.29308556969630106
